,Country,Iphone,Android,Total
395,Colombia,370,888,1420
396,Frankrijk,3,0,4
397,Hungary,4,10,17
398,"Virgin Islands, U.S.",4,3,7
399,Democratic Republic of Congo,4,3,8
400,Pakistan,167,488,697
401,Republic of Slovenia,4,5,13
402,日本,3064,2446,6626
403,Vatican City,0,0,1
404,Guinea Bissau,0,1,1
405,سلطنة عمان,82,71,155
406,Ägypten,0,1,2
407,Ungheria,0,0,1
408,United Kingdom,4213,2529,8050
409,Moldova,2,0,5
410,Syrian Arab Republic,0,9,9
411,Slovak Republic,7,1,10
412,Vietnam,14,10,34
413,De Forente Stater,0,2,2
414,Niederlande,1,1,2
415,Mali,2,6,9
416,Suecia,3,1,4
417,Ucrania,0,1,1
418,Slovenská republika,0,7,8
419,Japón,3,2,7
420,Spagna,10,3,18
421,Amerikas förenta stater,1,0,1
